topology,nb_roots,nb_proc,size,full_time,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
"2;16,32;1,2;1,1;1",2,512,50000,4475.62,4475.58,18.62,684.529,42.9518,666.06,18.35,0,232743,0.99,157650944,2037051392,10612000,82739200
"2;16,32;1,4;1,1;1",4,512,50000,3427.9,3427.86,24.31,300.397,34.3675,285.62,14.82,0,194012,0.99,158941184,2038276096,10612000,86654976
"2;16,32;1,9;1,1;1",9,512,50000,3090.51,3090.47,26.97,270.56,33.435,256.84,13.79,0,179408,0.99,158117888,2037485568,10616000,87302144
"2;16,32;1,8;1,1;1",8,512,50000,2958.42,2958.38,28.17,216.741,31.3956,203.6,13.23,0,150461,0.99,157319168,2036641792,10616000,86609920
"2;16,32;1,1;1,1;1",1,512,50000,7845.77,7845.73,10.62,675.164,47.7585,653.81,21.18,0,238750,0.99,164384768,2043682816,10624000,92659712
"2;16,32;1,15;1,1;1",15,512,50000,3037.45,3037.41,27.44,233.579,32.6371,220.27,13.39,0,164948,0.99,157802496,2037125120,10616000,86392832
"2;16,32;1,14;1,1;1",14,512,50000,2940.54,2940.5,28.34,223.309,32.3421,210.16,13.2,0,154207,0.99,157609984,2036867072,10612000,88752128
"2;16,32;1,5;1,1;1",5,512,50000,3717.76,3717.72,22.42,520.398,38.0391,504.32,16.02,0,232754,0.99,159862784,2039255040,10616000,87719936
"2;16,32;1,10;1,1;1",10,512,50000,3002.34,3002.3,27.76,253.483,33.6196,239.69,13.84,0,172532,0.99,158986240,2038378496,10616000,87838720
"2;16,32;1,3;1,1;1",3,512,50000,4152.94,4152.89,20.07,634.815,40.85,616.95,17.71,0,232232,0.99,158740480,2038132736,10616000,85520384
"2;16,32;1,12;1,1;1",12,512,50000,2985.93,2985.88,27.91,238.389,32.2823,224.96,13.48,0,165119,0.99,158494720,2037886976,10616000,85798912
"2;16,32;1,7;1,1;1",7,512,50000,3264.48,3264.43,25.53,314.778,35.6634,298.94,15.86,0,198553,0.99,157904896,2037239808,10604000,87154688
"2;16,32;1,16;1,1;1",16,512,50000,2670.73,2670.68,31.2,182.048,28.195,171.13,10.98,0,136131,0.99,157102080,2036547584,10608000,86994944
"2;16,32;1,6;1,1;1",6,512,50000,3334.55,3334.5,24.99,320.101,34.7108,305.09,15.04,0,202954,0.99,158052352,2037452800,10612000,87379968
"2;16,32;1,11;1,1;1",11,512,50000,2967.88,2967.84,28.08,242.393,32.9942,229.42,13.03,0,170493,0.99,157478912,2036776960,10616000,84922368
