topology,nb_roots,nb_proc,size,full_time,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
"2;16,32;1,3;1,1;1",3,512,50000,176.162,176.13,473.1,129.118,20.7035,121.08,8.07,0,150475,0.99,156229632,2035437568,10600000,84791296
"2;16,32;1,1;1,1;1",1,512,50000,174.908,174.88,476.5,128.968,20.4168,121.17,7.73,0,127632,0.99,157458432,2036789248,10612000,86204416
"2;16,32;1,10;1,1;1",10,512,50000,174.75,174.72,477.0,122.11,20.0444,114.08,8.11,0,117872,0.99,156008448,2035339264,10612000,84922368
"2;16,32;1,7;1,1;1",7,512,50000,175.088,175.06,476.1,127.227,20.5836,119.56,7.72,0,118746,0.99,155246592,2034626560,10608000,82485248
"2;16,32;1,8;1,1;1",8,512,50000,174.969,174.94,476.4,126.097,20.5682,118.44,7.65,0,124776,0.99,154497024,2033741824,10600000,83648512
"2;16,32;1,14;1,1;1",14,512,50000,175.528,175.5,474.9,129.401,20.955,121.61,7.88,0,135991,0.99,156360704,2035597312,10612000,83001344
"2;16,32;1,5;1,1;1",5,512,50000,174.997,174.97,476.3,123.05,20.0331,115.29,7.86,0,128656,0.99,155140096,2034524160,10604000,87560192
"2;16,32;1,12;1,1;1",12,512,50000,175.325,175.3,475.4,122.7,20.2661,115.14,7.65,0,128116,0.99,156622848,2035908608,10604000,85581824
"2;16,32;1,13;1,1;1",13,512,50000,175.133,175.1,475.9,130.971,20.8185,122.65,8.42,0,132776,0.99,155754496,2034966528,10604000,85106688
"2;16,32;1,9;1,1;1",9,512,50000,175.022,174.99,476.2,128.9,20.6178,121.08,7.79,0,119939,0.99,154763264,2034233344,10596000,83853312
"2;16,32;1,16;1,1;1",16,512,50000,175.165,175.14,475.8,126.775,20.6023,118.93,7.8,0,130326,0.99,155828224,2035236864,10604000,84496384
"2;16,32;1,11;1,1;1",11,512,50000,174.973,174.95,476.4,125.521,20.2782,117.74,7.83,0,125565,0.99,157220864,2036563968,10612000,87113728
"2;16,32;1,15;1,1;1",15,512,50000,174.981,174.95,476.3,126.368,20.24,118.39,8.07,0,130003,0.99,157523968,2036994048,10604000,86458368
"2;16,32;1,2;1,1;1",2,512,50000,175.409,175.38,475.2,128.611,20.8708,120.57,8.13,0,126276,0.99,156741632,2036027392,10612000,82841600
