topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss
"2;16,32;1,16;1,1",16,512,300000,20565.12,875.3,1422.23,161.297,748.66,82.82,17,13109165,0.58,162480128,734158106624
"2;16,32;1,16;1,1",16,16,300000,603909.15,29.81,86.6127,33.5387,34.94,30.68,0,12307381,0.75,10948608,722338504704
"2;16,32;1,16;1,1",16,128,300000,77533.34,232.2,311.22,57.1027,166.76,41.08,0,12422343,0.66,36478976,727021633536
"2;16,32;1,16;1,1",16,256,300000,39696.12,453.4,806.819,105.783,450.93,63.66,0,12578803,0.63,76255232,729398657024
"2;16,32;1,16;1,1",16,64,300000,153029.42,117.6,236.887,48.3383,120.58,38.32,0,12361576,0.67,21577728,724677001216
"2;16,32;1,16;1,1",16,32,300000,303652.19,59.28,113.468,36.1105,48.29,31.93,0,12309422,0.7,14675968,723505156096
