topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,uss,rss
"2;8,8;1,8;1,1",8,64,80000,3246.03,105.2,166.887,121.76,90.38,65.59,0,76103046,23941120,52467744768
"2;8,8;1,8;1,1",8,64,40000,492.12,86.7,48.0985,30.7632,30.8,16.18,0,18106559,22036480,13447995392
"2;8,8;1,8;1,1",8,64,160000,24066.07,113.5,696.076,511.154,297.27,286.44,0,358161278,29614080,207308759040
"2;8,8;1,8;1,1",8,64,120000,10394.05,110.8,371.892,279.883,181.2,151.9,0,182963623,26071040,117086953472
"2;8,8;1,8;1,1",8,64,100,0.18,0.003732,0.259617,0.0232799,0.08,0.18,0,2511,16232448,19578880
