topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,uss,rss
"2;8,8;1,8;1,1",8,64,100,0.18,0.003778,0.242396,0.0211479,0.08,0.16,0,2303,18210816,21598208
"2;8,8;1,8;1,1",8,64,80000,3214.99,106.2,94.9957,58.1923,76.7,14.78,0,16457011,21270528,52469407744
"2;8,8;1,8;1,1",8,64,160000,23880.79,114.3,339.258,217.768,227.86,58.67,0,76211290,19943424,207307182080
"2;8,8;1,8;1,1",8,64,120000,10312.15,111.7,198.992,127.716,147.32,32.04,0,38608885,23515136,117091008512
"2;8,8;1,8;1,1",8,64,40000,487.47,87.53,33.0312,16.3666,28.23,4.3,0,3552244,21475328,13449961472
