topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,uss,rss
"2;8,8;1,8;1,1",8,32,50000,1556.35,53.55,9.20302,2.24466,7.56,1.6,0,434393,13365248,20599812096
"2;8,8;1,8;1,1",8,40,20000,139.38,38.27,8.92142,1.3545,8.08,0.84,0,101197,16654336,3494146048
"2;8,8;1,8;1,1",8,1,10000,356.99,1.868,0.220265,0.192386,0.1,0.11,0,122308,5758976,809414656
"2;8,8;1,8;1,1",8,48,100000,7917.0,84.21,24.4727,7.03249,19.03,5.08,0,1523366,18358272,81574379520
"2;8,8;1,8;1,1",8,56,20000,120.99,44.08,13.11,1.86477,11.73,1.24,0,104621,23539712,3579920384
"2;8,8;1,8;1,1",8,56,30000,289.45,62.19,19.116,2.8551,17.23,1.86,0,195568,23322624,7753867264
"2;8,8;1,8;1,1",8,8,50000,5756.4,14.48,3.13673,1.27788,2.03,1.04,0,414529,7634944,20301746176
"2;8,8;1,8;1,1",8,40,10000,38.47,17.33,4.46182,0.64541,4.03,0.43,0,39806,16674816,958668800
"2;8,8;1,8;1,1",8,24,100000,15480.75,43.07,26.2966,6.76859,20.98,5.14,0,1521137,11014144,80984092672
"2;8,8;1,8;1,1",8,16,20000,219.99,24.25,2.72974,0.553391,2.27,0.45,0,95563,9895936,3369099264
"2;8,8;1,8;1,1",8,1,80000,181744.09,1.878,12.903,12.528,5.82,6.89,0,7112127,5783552,51210596352
"2;8,8;1,8;1,1",8,40,80000,5034.3,67.8,39.9717,7.28978,33.61,5.04,0,1014011,16740352,52307386368
"2;8,8;1,8;1,1",8,24,60000,3490.84,41.25,14.3291,3.16689,11.94,2.33,0,599016,11067392,29396967424
"2;8,8;1,8;1,1",8,40,100,0.22,0.003033,0.164366,0.0141392,0.05,0.11,0,1840,6819840,10260480
"2;8,8;1,8;1,1",8,16,40000,1550.72,27.52,5.64159,1.32987,4.7,0.93,0,292704,9433088,13123502080
"2;8,8;1,8;1,1",8,32,60000,2626.51,54.83,11.1219,2.86607,8.92,2.1,0,599790,12861440,29515321344
"2;8,8;1,8;1,1",8,64,40000,477.0,89.45,17.1973,3.11659,15.3,1.9,0,305109,21331968,13449846784
"2;8,8;1,8;1,1",8,16,30000,680.33,26.46,4.14029,0.90237,3.49,0.64,0,181553,9662464,7446274048
