topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,uss,rss
"2;8,8;1,8;1,1",8,64,40000,486.94,87.63,87.3615,21.3484,676425728,13485023232
"2;8,8;1,8;1,1",8,24,30000,513.31,35.07,28.5941,9.06199,346226688,7552036864
"2;8,8;1,8;1,1",8,8,40000,2996.91,14.24,21.663,10.6395,287055872,13092401152
"2;8,8;1,8;1,1",8,48,10000,23.62,28.23,6.04615,1.29866,187133952,991842304
"2;8,8;1,8;1,1",8,24,10000,40.01,16.67,4.96879,1.23954,122130432,926285824
"2;8,8;1,8;1,1",8,32,35000,578.69,49.4,37.0656,10.3961,456871936,10263658496
"2;8,8;1,8;1,1",8,56,100,0.23,0.002915,0.13128,0.023366,8683520,12554240
"2;8,8;1,8;1,1",8,40,25000,237.15,43.93,35.4375,9.32437,396685312,5402910720
"2;8,8;1,8;1,1",8,24,100,0.19,0.00367,0.0560144,0.0102067,0,0
"2;8,8;1,8;1,1",8,16,100,0.08,0.008324,0.0233527,0.00574253,0,0
"2;8,8;1,8;1,1",8,40,100,0.23,0.003004,0.0834125,0.0166784,0,0
"2;8,8;1,8;1,1",8,8,35000,2024.27,14.12,16.2649,7.7476,255987712,10061103104
"2;8,8;1,8;1,1",8,56,40000,602.9,70.77,109.321,29.0651,808669184,13617991680
"2;8,8;1,8;1,1",8,16,20000,225.5,23.65,10.5017,3.66102,191606784,3396399104
"2;8,8;1,8;1,1",8,1,15000,1205.16,1.867,0.884654,0.843728,5660672,1809240064
"2;8,8;1,8;1,1",8,32,10000,27.8,23.99,4.60713,1.15306,137850880,942338048
"2;8,8;1,8;1,1",8,32,15000,67.06,33.56,9.5003,2.7052,201617408,2006507520
"2;8,8;1,8;1,1",8,8,20000,398.08,13.4,6.07817,2.75056,146907136,3351236608
"2;8,8;1,8;1,1",8,64,30000,239.45,75.18,55.0531,14.373,510812160,7718125568
"2;8,8;1,8;1,1",8,16,35000,1070.8,26.7,27.332,10.3185,312066048,10117672960
"2;8,8;1,8;1,1",8,8,15000,175.29,12.84,3.58814,1.59358,104570880,1908686848
"2;8,8;1,8;1,1",8,40,30000,368.66,48.83,47.921,13.6361,475889664,7682826240
"2;8,8;1,8;1,1",8,24,40000,1123.75,37.97,48.1664,16.0662,445816832,13252423680
"2;8,8;1,8;1,1",8,56,5000,14.87,5.607,5.40648,0.919783,115826688,320073728
"2;8,8;1,8;1,1",8,56,30000,301.23,59.76,65.2482,16.7665,612560896,7820333056
"2;8,8;1,8;1,1",8,48,5000,8.0,10.42,2.2917,0.485075,101748736,305836032
"2;8,8;1,8;1,1",8,48,40000,593.97,71.84,62.5093,15.9111,719663104,13528236032
"2;8,8;1,8;1,1",8,32,15000,66.92,33.63,9.24323,2.64676,207892480,2012794880
"2;8,8;1,8;1,1",8,56,35000,433.16,65.99,87.0843,22.5878,709599232,10518114304
"2;8,8;1,8;1,1",8,64,40000,486.5,87.71,85.1512,20.4447,685842432,13494431744
"2;8,8;1,8;1,1",8,64,20000,95.29,55.98,26.7107,5.92755,346251264,3552325632
"2;8,8;1,8;1,1",8,32,5000,8.46,9.855,1.76153,0.411002,70029312,273960960
"2;8,8;1,8;1,1",8,40,5000,14.94,5.579,4.12796,0.763618,87965696,292028416
"2;8,8;1,8;1,1",8,1,20000,2852.02,1.87,1.58912,1.52699,5742592,3209392128
"2;8,8;1,8;1,1",8,64,10000,27.22,24.49,9.54839,2.05854,181268480,986054656
