topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,uss,rss
"2;8,8;1,8;1,1",8,64,25000,157.35,66.21,23.9704,12.9212,23752704,5415362560
"2;8,8;1,8;1,1",8,48,100,0.14,0.005029,0.261362,0.0139752,9986048,13352960
"2;8,8;1,8;1,1",8,32,35000,585.29,48.84,23.3651,16.6254,16891904,10227372032
"2;8,8;1,8;1,1",8,64,40000,492.5,86.64,51.6112,32.0202,27074560,13451030528
"2;8,8;1,8;1,1",8,40,10000,39.94,16.69,7.20115,2.65803,17633280,955150336
"2;8,8;1,8;1,1",8,16,30000,696.53,25.84,15.3184,11.026,10108928,7446155264
"2;8,8;1,8;1,1",8,32,30000,384.92,46.77,17.5341,12.1055,16994304,7569444864
"2;8,8;1,8;1,1",8,64,35000,351.38,81.35,40.9743,24.5105,28401664,10375692288
"2;8,8;1,8;1,1",8,8,15000,176.61,12.74,2.81073,2.12606,7962624,1898610688
"2;8,8;1,8;1,1",8,16,25000,417.66,24.94,10.8922,7.45821,10428416,5207310336
"2;8,8;1,8;1,1",8,32,40000,844.62,50.52,27.9381,20.3913,17100800,13285543936
"2;8,8;1,8;1,1",8,24,15000,93.9,23.96,6.88147,3.5581,12750848,1961435136
"2;8,8;1,8;1,1",8,56,40000,606.24,70.38,72.5266,44.4428,24436736,13523488768
"2;8,8;1,8;1,1",8,48,30000,279.49,64.41,19.8209,13.1494,21172224,7690559488
"2;8,8;1,8;1,1",8,1,35000,15252.85,1.874,5.0901,4.95035,5799936,9809858560
"2;8,8;1,8;1,1",8,24,10000,40.69,16.39,3.99648,1.72671,12734464,913129472
"2;8,8;1,8;1,1",8,16,20000,227.16,23.48,7.60503,4.87644,10428416,3368656896
"2;8,8;1,8;1,1",8,48,40000,599.34,71.19,33.1584,22.9935,23719936,13447532544
"2;8,8;1,8;1,1",8,1,15000,1205.73,1.866,1.00145,0.950983,5767168,1809522688
"2;8,8;1,8;1,1",8,1,40000,22758.98,1.875,6.56325,6.39625,5758976,12810031104
"2;8,8;1,8;1,1",8,24,5000,13.04,6.394,1.74047,0.547043,12374016,263426048
"2;8,8;1,8;1,1",8,48,10000,24.03,27.74,4.38507,1.94891,17948672,978661376
"2;8,8;1,8;1,1",8,8,10000,57.45,11.61,1.43245,0.961525,7839744,869462016
"2;8,8;1,8;1,1",8,56,10000,38.3,17.41,9.82201,3.41727,24518656,1002590208
"2;8,8;1,8;1,1",8,40,40000,767.38,55.6,53.9595,34.2712,19030016,13363445760
