topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
"2;8,8;1,8;1,1",8,56,200000,52967.0,100.7,180.999,30.1592,123.39,21.76,0,5528105,0.8,18493440,323511115776,617580000,670834688
"2;8,8;1,8;1,1",8,56,50000,1034.62,80.55,32.1795,4.98628,29.04,3.12,0,438990,0.99,21471232,20900433920,40392000,51539968
"2;8,8;1,8;1,1",8,56,300000,175772.49,102.4,345.459,55.434,187.4,42.02,0,12056395,0.66,22872064,725257936896,1383856000,1548226560
"2;8,8;1,8;1,1",8,56,100000,7040.17,94.7,71.3525,11.6601,58.86,7.53,0,1508528,0.93,20074496,81770225664,156496000,222412800
"2;8,8;1,8;1,1",8,56,250000,102384.18,101.7,252.625,42.1289,155.14,30.39,0,8474032,0.73,17997824,504381825024,962576000,1089372160
"2;8,8;1,8;1,1",8,56,150000,22765.35,98.84,118.641,20.0273,89.98,13.46,0,3196974,0.87,19861504,182642106368,348900000,385220608
