topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
"2;8,8;1,8;1,1",8,56,250000,102381.66,101.7,152.107,20.1777,140.21,11.9,0,18488,0.99,18141184,297975808,1260000,58986496
"2;8,8;1,8;1,1",8,56,50000,1033.65,80.62,28.9457,3.79799,26.58,2.37,0,8919,0.99,22364160,252817408,1256000,12587008
"2;8,8;1,8;1,1",8,56,100000,7038.69,94.72,58.4476,7.72474,54.1,4.36,0,11777,0.99,18640896,290238464,1252000,15187968
"2;8,8;1,8;1,1",8,56,200000,52964.38,100.7,118.13,15.5981,108.8,9.33,0,14768,0.99,23179264,250318848,1264000,43401216
"2;8,8;1,8;1,1",8,56,300000,175768.54,102.4,182.478,24.2901,168.08,14.34,0,20619,0.99,21372928,245661696,1260000,82120704
"2;8,8;1,8;1,1",8,56,150000,22764.08,98.84,90.7178,12.0403,83.72,7.0,0,13011,0.99,21909504,215912448,1256000,30273536
