topology,nb_roots,nb_proc,size,full_time,time,Gflops,total_energy,used_energy,unused_energy,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
file(big_taurus.xml),-1,192,65536,166.93,164.85,1138.0,5152075.478422,544815.390223,4607260.088199,916.763,400.393,874.75,34.22,0,17741254,0.99,86966272,36245192704,70740000,120578048
file(big_taurus.xml),-1,120,65536,248.036,244.69,766.9,7525963.404709,509027.615001,7016935.789708,721.353,385.129,685.38,27.8,0,17634776,0.98,64782336,35834478592,69384000,107945984
file(big_taurus.xml),-1,72,65536,391.373,385.69,486.5,11737162.970831,485193.575449,11251969.395383,574.526,376.313,542.09,25.01,0,17527589,0.98,46997504,35557969920,68468000,95911936
file(big_taurus.xml),-1,168,65536,186.062,183.63,1022.0,5711108.65902,533003.813763,5178104.845256,838.773,394.713,798.92,31.76,0,17974552,0.99,73744384,36102414336,70276000,109760512
file(big_taurus.xml),-1,144,65536,217.37,214.59,874.5,6630203.188819,530809.936076,6099393.252743,738.894,385.618,704.03,27.14,0,17672623,0.98,82489344,35981807616,69860000,120729600
file(big_taurus.xml),-1,48,65536,560.537,551.9,340.0,16715257.113294,470906.768631,16244350.344663,529.798,372.453,500.62,22.84,0,17536580,0.98,33193984,35414929408,68012000,82911232
file(big_taurus.xml),-1,96,65536,302.656,298.35,629.0,9130009.401689,498247.14811,8631762.253578,623.994,378.274,591.48,24.42,0,17531004,0.98,60403712,35700649984,68928000,106074112
file(big_taurus.xml),-1,24,65536,1046.38,1030.21,182.2,31008455.884527,443753.89754,30564701.986987,490.753,368.562,462.65,21.2,0,17496175,0.98,20688896,35272892416,67552000,75190272
