time,hostname,power_consumption
20.314369,taurus-10,2336.152434
20.314369,taurus-14,2336.152434
20.314369,taurus-2,1924.786462
20.314369,taurus-6,3520.890236
20.314369,taurus-11,2336.152434
20.314369,taurus-15,2336.152434
20.314369,taurus-3,3555.444349
20.314369,taurus-7,3625.121992
20.314369,taurus-12,3860.620192
20.314369,taurus-16,3669.709439
20.314369,taurus-4,3576.010247
20.314369,taurus-8,3523.510447
20.314369,taurus-13,2336.152434
20.314369,taurus-1,2336.152434
20.314369,taurus-5,3534.804587
20.314369,taurus-9,2336.152434
