time,hostname,power_consumption
717.753677,taurus-10,82541.672805
717.753677,taurus-14,82541.672805
717.753677,taurus-2,68007.160855
717.753677,taurus-6,82541.672805
717.753677,taurus-11,82541.672805
717.753677,taurus-15,82541.672805
717.753677,taurus-3,82541.672805
717.753677,taurus-7,82541.672805
717.753677,taurus-12,82541.672805
717.753677,taurus-16,82541.672805
717.753677,taurus-4,82541.672805
717.753677,taurus-8,85232.874092
717.753677,taurus-13,82541.672805
717.753677,taurus-1,82541.672805
717.753677,taurus-5,82541.672805
717.753677,taurus-9,82541.672805
