time,hostname,power_consumption
191.487405,taurus-10,22021.051565
191.487405,taurus-14,22021.051565
191.487405,taurus-2,18143.431616
191.487405,taurus-6,22021.051565
191.487405,taurus-11,22021.051565
191.487405,taurus-15,22021.051565
191.487405,taurus-3,22021.051565
191.487405,taurus-7,22021.051565
191.487405,taurus-12,22021.051565
191.487405,taurus-16,22021.051565
191.487405,taurus-4,22021.051565
191.487405,taurus-8,27367.193280
191.487405,taurus-13,22021.051565
191.487405,taurus-1,22021.051565
191.487405,taurus-5,22021.051565
191.487405,taurus-9,22021.051565
