topology,nb_roots,nb_proc,size,full_time,time,Gflops,total_energy,used_energy,unused_energy,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
file(big_taurus.xml),-1,336,65536,119.039,117.74,1594.0,3800878.409346,679678.407973,3121200.001373,1558.66,439.715,1487.02,50.34,0,17754030,0.98,119083008,37053353984,73428000,140668928
file(big_taurus.xml),-1,288,65536,131.146,129.71,1447.0,4141807.969128,642819.498748,3498988.47038,1274.8,422.637,1210.16,43.15,0,17738886,0.98,114130944,36789608448,72544000,145797120
file(big_taurus.xml),-1,192,65536,167.024,164.93,1138.0,5155015.986104,545157.014605,4609858.971498,961.718,400.622,902.5,34.55,0,18278745,0.97,83468288,36241481728,70740000,126083072
file(big_taurus.xml),-1,144,65536,217.289,214.58,874.5,6627814.420959,530678.595629,6097135.82533,780.651,386.492,720.96,28.5,0,18155749,0.95,83234816,35982544896,69856000,130174976
file(big_taurus.xml),-1,240,65536,147.592,145.77,1287.0,4607737.635333,602078.859118,4005658.776215,1146.28,413.63,1089.39,38.87,0,17707757,0.98,95907840,36512718848,71632000,133550080
