time,hostname,power_consumption
71.610807,taurus-10,8235.242767
71.610807,taurus-14,8235.242767
71.610807,taurus-2,6785.123932
71.610807,taurus-6,8235.242767
71.610807,taurus-11,8235.242767
71.610807,taurus-15,8235.242767
71.610807,taurus-3,8235.242767
71.610807,taurus-7,8235.242767
71.610807,taurus-12,8235.242767
71.610807,taurus-16,8235.242767
71.610807,taurus-4,8235.242767
71.610807,taurus-8,14533.474792
71.610807,taurus-13,8235.242767
71.610807,taurus-1,8235.242767
71.610807,taurus-5,8235.242767
71.610807,taurus-9,8235.242767
