time,hostname,power_consumption
100.786046,taurus-10,11590.395308
100.786046,taurus-14,11590.395308
100.786046,taurus-2,9549.477874
100.786046,taurus-6,11590.395308
100.786046,taurus-11,11590.395308
100.786046,taurus-15,11590.395308
100.786046,taurus-3,11590.395308
100.786046,taurus-7,11590.395308
100.786046,taurus-12,11590.395308
100.786046,taurus-16,11590.395308
100.786046,taurus-4,11590.395308
100.786046,taurus-8,17529.756599
100.786046,taurus-13,11590.395308
100.786046,taurus-1,11590.395308
100.786046,taurus-5,11590.395308
100.786046,taurus-9,11590.395308
