time,hostname,power_consumption
29.952652,taurus-10,3444.554928
29.952652,taurus-14,3444.554928
29.952652,taurus-2,2838.013734
29.952652,taurus-6,5361.793979
29.952652,taurus-11,3444.554928
29.952652,taurus-15,3444.554928
29.952652,taurus-3,3444.554928
29.952652,taurus-7,5507.496166
29.952652,taurus-12,3444.554928
29.952652,taurus-16,3444.554928
29.952652,taurus-4,3444.554928
29.952652,taurus-8,5335.997327
29.952652,taurus-13,3444.554928
29.952652,taurus-1,3444.554928
29.952652,taurus-5,5351.705315
29.952652,taurus-9,3444.554928
