time,hostname,power_consumption
17.434474,taurus-10,3216.603121
17.434474,taurus-14,2004.964509
17.434474,taurus-2,1651.916410
17.434474,taurus-6,2965.281460
17.434474,taurus-11,3055.462485
17.434474,taurus-15,2004.964509
17.434474,taurus-3,2988.281491
17.434474,taurus-7,3055.129968
17.434474,taurus-12,3267.542012
17.434474,taurus-16,3085.435433
17.434474,taurus-4,3006.831786
17.434474,taurus-8,2972.930986
17.434474,taurus-13,3057.216256
17.434474,taurus-1,3022.943002
17.434474,taurus-5,2974.634473
17.434474,taurus-9,2004.964509
