nb_proc,used_energy,full_time,time,Gflops
12,15.8963609360313,76.6474142074585,73.32,7.275e+01
48,23.0507636198139,29.3961429595947,28.02,1.903e+02
96,28.3667086399913,18.4062077999115,17.47,3.053e+02
144,36.6415235338759,17.2573988437653,13.95,3.823e+02
