topology,nb_roots,nb_proc,size,full_time,time,Gflops,total_energy,used_energy,unused_energy,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
file(big_taurus.xml),-1,768,20000,14.6473,14.43,369.8,517329.711511,193917.523696,323412.187815,964.245,106.081,935.2,28.89,0,1791311,0.99,263766016,5014290432,15760000,164806656
file(big_taurus.xml),-1,576,20000,14.385,14.16,376.8,486367.272813,142278.052428,344089.220385,601.073,77.0451,582.54,18.36,0,1765942,0.99,185663488,4607823872,13460000,113041408
file(big_taurus.xml),-1,384,20000,13.9482,13.7,389.5,450255.934854,90950.218982,359305.715872,376.128,58.9403,364.89,11.19,0,1745994,0.99,121049088,4214562816,11176000,75259904
file(big_taurus.xml),-1,192,20000,13.5961,13.28,401.6,418210.423834,42957.933937,375252.489897,181.104,44.9637,174.88,6.01,0,1739820,0.99,67702784,3831824384,8912000,47927296
