topology,nb_roots,nb_proc,size,full_time,time,Gflops,total_energy,used_energy,unused_energy,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
file(big_taurus.xml),-1,192,20000,13.6598,13.33,400.2,420156.942834,43146.444149,377010.498685,179.16,45.0919,172.75,6.18,0,1732871,0.99,68214784,3832274944,8912000,47927296
file(big_taurus.xml),-1,336,20000,14.2995,14.05,379.6,456263.273404,81331.283465,374931.989939,321.458,54.9188,311.84,9.4,0,1752834,0.99,105664512,4116606976,10612000,68075520
file(big_taurus.xml),-1,288,20000,14.7396,14.48,368.3,464760.858811,71507.996402,393252.86241,260.22,50.9744,251.84,8.17,0,1741831,0.99,96030720,4025352192,10056000,64073728
file(big_taurus.xml),-1,240,20000,14.8619,14.58,365.9,462903.806618,59552.662374,403351.144244,222.623,48.1355,215.34,7.22,0,1735560,0.99,82001920,3928604672,9468000,57147392
