topology,nb_roots,nb_proc,size,full_time,time,Gflops,total_energy,used_energy,unused_energy,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
file(big_taurus.xml),-1,384,65536,109.231,108.05,1737.0,3528336.737189,714541.521495,2813795.215695,1729.58,454.29,1663.72,58.05,0,18363567,0.99,133115904,37326782464,74352000,146735104
file(big_taurus.xml),-1,768,65536,81.4787,80.78,2323.0,2876686.161451,1077637.446932,1799048.714518,3819.77,598.918,3694.64,117.31,0,17837699,0.99,294338560,39557922816,81700000,252510208
file(big_taurus.xml),-1,576,65536,90.4223,89.57,2095.0,3056523.300836,893622.162502,2162901.138334,2493.6,507.662,2405.42,78.95,0,17765677,0.99,213622784,38442078208,78004000,201416704
file(big_taurus.xml),-1,192,65536,167.062,164.91,1138.0,5156087.040311,545176.330793,4610910.709518,931.542,400.327,889.97,34.22,0,18021410,0.99,84549632,36242591744,70736000,124313600
