topology,nb_roots,nb_proc,size,full_time,time,Gflops,total_energy,used_energy,unused_energy,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
file(big_taurus.xml),-1,3072,20000,15.3762,15.11,353.1,824235.523952,824235.523952,0.0,6381.92,862.107,6225.52,156.07,0,2229845,0.99,0,0,0,0
file(big_taurus.xml),-1,192,20000,13.6206,13.28,401.5,418960.705406,43032.035515,375928.669892,186.746,45.3721,180.29,6.28,0,1725276,0.99,68186112,3832332288,8920000,37146624
file(big_taurus.xml),-1,1728,20000,15.0011,14.77,361.2,643285.998287,450071.73255,193214.265738,3248.84,395.042,3163.14,85.31,0,1932619,0.99,801378304,7197700096,27600000,543621120
