shared,size,mem_access,system_time,user_time,nb_page_faults
False,9773852668,False,0.0,0.0,60
False,5012014025,False,0.0,0.0,61
False,5012014025,True,1.85,0.28,1223693
True,5012014025,False,0.24,0.0,81576
True,5012014025,True,1.13,0.53,1305212
False,5426883244,False,0.0,0.0,60
False,5426883244,True,1.96,0.35,1324980
True,5426883244,False,0.26,0.0,88302
True,5426883244,True,1.33,0.47,1413224
True,9341166147,True,2.2,0.9,2432320
True,9341166147,False,0.44,0.0,151763
False,9341166147,False,0.0,0.0,60
False,9341166147,True,3.42,0.56,2280618
True,8910575328,False,0.42,0.0,144780
False,8910575328,True,3.24,0.55,2175493
True,8910575328,True,2.11,0.84,2320214
False,8910575328,False,0.0,0.0,59
False,1032192200,False,0.0,0.0,58
True,1032192200,False,0.04,0.0,17053
True,1032192200,True,0.23,0.1,269053
False,1032192200,True,0.34,0.09,252058
True,1875122636,True,0.48,0.14,488513
False,1875122636,False,0.0,0.0,58
False,1875122636,True,0.68,0.11,457852
True,1875122636,False,0.09,0.0,30721
False,883949251,False,0.0,0.0,59
False,883949251,True,0.31,0.06,215864
True,883949251,False,0.04,0.0,14650
True,883949251,True,0.22,0.06,230457
True,2709077533,True,0.63,0.26,705636
False,2709077533,False,0.0,0.0,58
False,2709077533,True,0.98,0.17,661454
True,2709077533,False,0.13,0.0,44240
True,3955988736,True,0.95,0.36,1030272
False,3955988736,True,1.36,0.32,965875
False,3955988736,False,0.0,0.0,58
True,3955988736,False,0.18,0.0,64455
True,4205507527,True,0.99,0.4,1095236
False,4205507527,False,0.0,0.0,60
True,4205507527,False,0.2,0.0,68498
False,4205507527,True,1.49,0.29,1026794
True,9419222603,True,2.27,0.86,2452642
False,9419222603,False,0.0,0.0,56
False,9419222603,True,3.36,0.65,2299675
True,9419222603,False,0.44,0.0,144046
False,9667899525,False,0.0,0.0,61
True,9667899525,False,0.46,0.0,157058
True,9667899525,True,2.3,0.93,2517386
False,9667899525,True,3.39,0.72,2360386
True,2383374854,True,0.58,0.2,620839
False,2383374854,True,0.86,0.14,581938
True,2383374854,False,0.11,0.0,38956
False,2383374854,False,0.0,0.0,60
False,3992814136,False,0.0,0.0,59
True,3992814136,False,0.19,0.0,65052
True,3992814136,True,0.99,0.34,1039860
False,3992814136,True,1.46,0.24,974866
True,84966018,False,0.0,0.0,1694
False,84966018,True,0.01,0.02,20801
False,84966018,False,0.0,0.0,56
True,84966018,True,0.02,0.0,22438
True,8708925757,False,0.42,0.0,141512
False,8708925757,False,0.0,0.0,59
True,8708925757,True,2.13,0.76,2267715
False,8708925757,True,3.12,0.58,2126260
False,7274384562,False,0.0,0.0,59
True,7274384562,True,1.78,0.64,1894228
False,7274384562,True,2.63,0.47,1776031
True,7274384562,False,0.34,0.0,118253
True,2201861681,True,0.5,0.23,573577
False,2201861681,False,0.0,0.0,59
True,2201861681,False,0.1,0.0,36016
False,2201861681,True,0.75,0.18,537621
True,9138397309,True,2.19,0.84,2379526
False,9138397309,False,0.0,0.0,58
False,9138397309,True,3.38,0.52,2231112
True,9138397309,False,0.44,0.0,148473
True,6405134489,True,1.58,0.55,1667915
False,6405134489,True,2.27,0.46,1563813
False,6405134489,False,0.0,0.0,57
True,6405134489,False,0.3,0.0,104163
False,5711713069,False,0.0,0.0,60
False,5711713069,True,2.08,0.35,1394520
True,5711713069,True,1.46,0.44,1487381
True,5711713069,False,0.27,0.0,92920
False,921832529,False,0.0,0.0,60
True,921832529,False,0.04,0.0,15264
