shared,size,mem_access,system_time,user_time,nb_page_faults
True,2355021453,True,0.42,0.2,613455
True,2355021453,False,0.1,0.0,38497
True,7380697165,True,2.08,0.51,1921905
False,7380697165,True,2.74,0.39,1801988
False,7380697165,False,0.0,0.0,58
True,7380697165,False,0.32,0.0,119976
True,9261648187,True,2.84,0.62,2411615
False,9261648187,True,3.42,0.51,2261202
False,9261648187,False,0.0,0.0,59
True,9261648187,False,0.39,0.0,150472
False,9826132894,True,3.59,0.58,2399015
True,9826132894,False,0.42,0.0,159624
False,9826132894,False,0.0,0.0,61
True,9826132894,True,3.05,0.67,2558581
True,8970776162,True,2.69,0.6,2335887
False,8970776162,True,3.25,0.56,2190187
False,8970776162,False,0.0,0.0,58
True,8970776162,False,0.39,0.0,145756
False,3545979504,False,0.0,0.0,58
True,3545979504,False,0.15,0.0,57807
True,3545979504,True,0.68,0.26,923523
False,3545979504,True,1.28,0.21,865774
False,8304113573,True,3.05,0.48,2027427
True,8304113573,False,0.36,0.0,134947
False,8304113573,False,0.0,0.0,58
True,8304113573,True,2.44,0.58,2162322
False,4959003412,True,1.81,0.29,1210755
False,4959003412,False,0.0,0.0,58
True,4959003412,True,1.05,0.39,1291411
True,4959003412,False,0.21,0.0,80716
False,5122313903,True,1.85,0.3,1250623
False,5122313903,False,0.0,0.0,59
True,5122313903,False,0.22,0.0,78477
True,5122313903,True,1.12,0.38,1333928
False,2398688459,False,0.0,0.0,57
False,2398688459,True,0.88,0.12,585677
True,2398688459,False,0.1,0.0,39204
True,2398688459,True,0.44,0.19,624827
True,4727270448,True,1.01,0.33,1231079
False,4727270448,True,1.74,0.25,1154175
True,4727270448,False,0.2,0.0,76958
False,4727270448,False,0.0,0.0,59
False,837866259,False,0.0,0.0,57
False,837866259,True,0.3,0.05,204615
True,837866259,True,0.16,0.05,218457
True,837866259,False,0.03,0.0,13901
False,7498701569,True,2.78,0.41,1830796
True,7498701569,False,0.32,0.0,121891
False,7498701569,False,0.0,0.0,58
True,7498701569,True,2.12,0.51,1952628
True,3151971820,False,0.13,0.0,51417
True,3151971820,True,0.6,0.24,820943
False,3151971820,False,0.0,0.0,57
False,3151971820,True,1.15,0.18,769584
True,7381998608,True,2.03,0.54,1922243
True,7381998608,False,0.32,0.0,120000
False,7381998608,False,0.0,0.0,59
False,7381998608,True,2.75,0.37,1802304
False,5195771492,True,1.95,0.26,1268554
True,5195771492,True,1.17,0.38,1353052
True,5195771492,False,0.22,0.0,84555
False,5195771492,False,0.0,0.0,57
False,3846884169,True,1.4,0.24,939238
True,3846884169,False,0.16,0.0,62684
False,3846884169,False,0.0,0.0,59
True,3846884169,True,0.76,0.25,1001867
True,1655053033,False,0.07,0.0,27153
False,1655053033,True,0.59,0.1,404120
True,1655053033,True,0.32,0.11,431215
False,1655053033,False,0.0,0.0,57
True,7928000664,True,2.31,0.52,2064399
True,7928000664,False,0.34,0.0,128849
False,7928000664,False,0.0,0.0,57
False,7928000664,True,2.91,0.44,1935606
True,6205569713,False,0.27,0.0,100925
False,6205569713,True,2.28,0.35,1515088
False,6205569713,False,0.0,0.0,57
True,6205569713,True,1.62,0.42,1615957
True,1850708512,False,0.08,0.0,28559
False,1850708512,True,0.66,0.12,451890
False,1850708512,False,0.0,0.0,58
True,1850708512,True,0.36,0.13,482155
False,7047945423,True,2.62,0.36,1720746
True,7047945423,True,1.98,0.44,1835273
False,7047945423,False,0.0,0.0,57
True,7047945423,False,0.29,0.0,107860
True,4143355530,False,0.18,0.0,67490
False,4143355530,True,1.54,0.22,1011617
True,4143355530,True,0.8,0.28,1079054
False,4143355530,False,0.0,0.0,58
False,4358479798,True,1.56,0.29,1064140
True,4358479798,True,0.82,0.35,1135060
False,4358479798,False,0.0,0.0,60
True,4358479798,False,0.18,0.0,70978
True,4074720779,True,0.8,0.28,1061181
True,4074720779,False,0.17,0.0,66379
